label,text
spam,Win a FREE iPhone now by clicking this link!
ham,Hey are we still on for lunch tomorrow?
ham,Don't forget to submit the report by 3 PM.
spam,Congratulations! You've been selected for a cash prize.
spam,Limited time offer!!! Buy one get one free.
ham,Can you review the slides before the meeting?
spam,You have won a lottery. Reply with your bank details.
ham,Thanks for your help with the project.
spam,Claim your reward by visiting our website.
ham,Let's reschedule our call to next week.
